symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target1,target2,target3,reward_risk_t3
ANTELOPUS,100,951.15,70.2,16.88,100.0,951.15,887.9,1014.4,1046.02,1077.64,2.0
ANTHEM,100,934.5,68.2,1.81,98.1,934.5,892.56,976.44,997.41,1018.38,2.0
BAJAJ-AUTO,100,12130.0,64.2,1.4,97.3,12130.0,11778.03,12481.97,12657.96,12833.94,2.0
BEML,100,2032.4,66.2,1.78,99.2,2032.4,1941.4,2123.4,2168.89,2214.39,2.0
BLBLIMITED,100,17.11,71.2,2.25,97.8,17.11,16.11,18.11,18.61,19.11,2.0
CAPLIPOINT,100,2720.5,64.2,1.81,98.9,2720.5,2582.34,2858.66,2927.74,2996.82,2.0
CLEAN,100,863.15,66.9,2.63,99.3,863.15,826.74,899.56,917.77,935.97,2.0
GFLLIMITED,100,58.82,69.5,2.45,98.6,58.82,54.76,62.88,64.9,66.93,2.0
GLOBAL,100,117.31,69.2,3.85,98.6,117.31,109.74,124.88,128.67,132.45,2.0
HMT,100,67.48,63.3,2.42,97.4,67.48,63.21,71.75,73.89,76.02,2.0
IIFLCAPS,100,338.3,55.5,1.44,98.7,338.3,332.3,344.3,347.31,350.31,2.0
INGERRAND,100,4883.5,65.4,1.75,98.6,4883.5,4660.16,5106.84,5218.51,5330.18,2.0
INNOVACAP,100,1108.6,66.9,2.31,97.2,1108.6,1039.56,1177.64,1212.16,1246.68,2.0
JAYAGROGN,100,229.57,57.2,1.7,97.3,229.57,215.86,243.28,250.13,256.99,2.0
JSWDULUX,100,3163.3,58.7,1.56,98.4,3163.3,3048.08,3278.52,3336.14,3393.75,2.0
KAJARIACER,100,1261.1,61.2,2.93,98.9,1261.1,1209.29,1312.91,1338.82,1364.73,2.0
KAMDHENU,100,37.45,66.2,1.47,98.6,37.45,34.7,40.2,41.58,42.95,2.0
LYKALABS,100,75.33,62.4,1.35,98.4,75.33,71.99,78.67,80.34,82.0,2.0
MEESHO,100,211.6,67.7,1.64,98.9,211.6,200.78,222.42,227.84,233.25,2.0
NIACL,100,199.11,67.7,6.54,98.9,199.11,188.22,210.0,215.44,220.88,2.0
NRL,100,122.0,64.2,2.32,97.6,122.0,118.54,125.46,127.18,128.91,2.0
OIL,100,498.15,68.7,1.41,99.6,498.15,479.04,517.26,526.81,536.37,2.0
PASUPTAC,100,64.64,62.9,1.69,98.7,64.64,60.75,68.53,70.48,72.42,2.0
PNB,100,117.0,59.0,1.54,97.9,117.0,113.73,120.27,121.9,123.54,2.0
ADOR,90,1730.3,68.3,1.12,98.0,1730.3,1621.87,1838.73,1892.94,1947.15,2.0
ACMESOLAR,85,398.25,58.1,1.28,96.8,398.25,374.45,422.05,433.95,445.86,2.0
ADL,85,76.4,58.4,1.25,96.8,76.4,70.0,82.8,86.0,89.2,2.0
AEGISVOPAK,85,286.3,58.9,3.46,95.4,286.3,267.92,304.68,313.86,323.05,2.0
AKUMS,85,770.25,62.4,1.49,96.7,770.25,731.69,808.81,828.09,847.37,2.0
ALIVUS,85,1417.9,66.3,2.88,95.3,1417.9,1337.06,1498.74,1539.16,1579.57,2.0
APLAPOLLO,85,2210.0,70.1,1.25,97.0,2210.0,2135.28,2284.72,2322.08,2359.44,2.0
ARIES,85,495.35,69.8,2.82,95.6,495.35,455.52,535.18,555.09,575.01,2.0
ASIANENE,85,504.1,67.3,1.21,96.9,504.1,466.25,541.95,560.88,579.8,2.0
BALAMINES,85,2390.1,61.1,2.11,95.4,2390.1,2223.88,2556.32,2639.43,2722.53,2.0
BESTAGRO,85,18.82,57.6,1.9,86.2,18.82,17.44,20.2,20.89,21.58,2.0
BLUSPRING,85,132.44,60.8,1.58,96.9,132.44,120.48,144.4,150.37,156.35,2.0
CENTENKA,85,602.35,65.4,18.27,96.4,602.35,570.43,634.27,650.23,666.19,2.0
CONFIPET,85,82.55,60.5,1.31,95.5,82.55,76.27,88.83,91.97,95.12,2.0
EBGNG,85,641.8,61.1,1.89,95.3,641.8,591.83,691.77,716.75,741.73,2.0
GANESHBE,85,122.18,56.1,1.36,96.2,122.18,112.9,131.46,136.09,140.73,2.0
GLOBECIVIL,85,46.84,64.7,1.33,96.8,46.84,43.46,50.22,51.92,53.61,2.0
GUFICBIO,85,438.8,63.8,4.55,96.7,438.8,411.86,465.74,479.21,492.68,2.0
GUJTHEM,85,413.05,63.2,4.07,94.0,413.05,387.23,438.87,451.78,464.69,2.0
GVPTECH,85,8.33,64.3,1.23,88.7,8.33,7.44,9.22,9.66,10.1,2.0
HALDER,85,293.9,63.6,1.2,92.1,293.9,267.25,320.55,333.88,347.2,2.0
HERITGFOOD,85,378.75,59.9,8.44,96.6,378.75,359.23,398.27,408.02,417.78,2.0
IDEA,85,14.53,57.6,1.21,94.5,14.53,13.79,15.27,15.64,16.0,2.0
JINDWORLD,85,40.19,62.4,1.42,90.8,40.19,36.99,43.39,44.99,46.58,2.0
JKPAPER,85,395.2,56.7,2.25,95.9,395.2,376.28,414.12,423.57,433.03,2.0
KHAITANLTD,85,160.8,64.5,2.81,96.9,160.8,147.07,174.53,181.4,188.26,2.0
KRYSTAL,85,667.0,62.4,1.44,96.1,667.0,630.19,703.81,722.21,740.62,2.0
KSL,85,904.3,56.3,1.3,96.2,904.3,848.24,960.36,988.39,1016.42,2.0
LUMAXIND,85,6347.0,68.5,1.55,96.0,6347.0,5986.6,6707.4,6887.6,7067.81,2.0
MEDICAMEQ,85,265.25,62.6,1.98,95.1,265.25,245.12,285.38,295.44,305.51,2.0
MPHASIS,85,2480.0,56.2,2.03,97.0,2480.0,2373.38,2586.62,2639.93,2693.23,2.0
NECCLTD,85,16.9,59.3,4.92,92.9,16.9,15.66,18.14,18.77,19.39,2.0
NPST,85,1690.0,60.4,1.37,95.8,1690.0,1563.58,1816.42,1879.63,1942.84,2.0
NUVAMA,85,1841.0,60.3,3.79,96.7,1841.0,1745.63,1936.37,1984.06,2031.75,2.0
PARAGMILK,85,254.9,65.1,1.56,96.6,254.9,239.23,270.57,278.41,286.24,2.0
PERSISTENT,85,5690.0,56.0,1.3,96.3,5690.0,5442.89,5937.11,6060.67,6184.23,2.0
POLYMED,85,1783.8,57.8,2.94,93.4,1783.8,1687.0,1880.6,1929.0,1977.4,2.0
AGI,75,749.45,56.3,1.14,92.9,749.45,710.97,787.93,807.18,826.42,2.0
AVALON,75,2189.6,57.8,1.16,91.2,2189.6,2013.35,2365.85,2453.98,2542.11,2.0
ENGINERSIN,75,276.6,70.4,1.17,95.5,276.6,261.92,291.28,298.62,305.96,2.0
EXPLEOSOL,75,890.85,62.4,1.16,94.2,890.85,841.08,940.62,965.51,990.4,2.0
GENUSPOWER,75,336.15,56.1,1.16,95.1,336.15,316.0,356.3,366.37,376.45,2.0
MUKKA,75,26.85,63.5,1.14,95.1,26.85,24.97,28.73,29.67,30.61,2.0
