symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target1,target2,target3,reward_risk_t3
63MOONS,90,895.15,66.4,1.87,98.2,895.15,835.9,954.4,984.02,1013.64,2.0
ACUTAAS,90,3457.9,60.2,2.84,99.9,3457.9,3264.11,3651.69,3748.59,3845.49,2.0
AEROPLANE,90,208.36,71.1,3.21,99.5,208.36,195.26,221.46,228.0,234.55,2.0
AHCL,90,16.67,69.1,1.69,98.7,16.67,15.75,17.59,18.05,18.52,2.0
AKSHOPTFBR,90,8.74,70.9,2.33,97.0,8.74,8.03,9.45,9.8,10.16,2.0
BHAGYANGR,90,432.2,66.3,3.02,100.0,432.2,403.65,460.75,475.02,489.29,2.0
BIRLACABLE,90,371.95,71.6,3.23,98.8,371.95,345.66,398.24,411.39,424.54,2.0
CASTROLIND,90,187.64,55.4,2.19,97.8,187.64,184.03,191.25,193.05,194.85,2.0
CEIGALL,90,380.45,75.9,1.39,97.7,380.45,360.39,400.51,410.54,420.57,2.0
CLEAN,90,850.35,61.0,2.24,97.7,850.35,813.18,887.52,906.1,924.68,2.0
CORONA,90,2203.2,63.0,9.84,99.0,2203.2,2104.58,2301.82,2351.13,2400.44,2.0
EDELWEISS,90,138.68,63.6,1.57,98.4,138.68,129.55,147.81,152.38,156.94,2.0
ELLEN,90,369.9,72.4,3.58,98.7,369.9,345.01,394.79,407.23,419.68,2.0
EMCURE,90,1982.9,65.5,1.5,98.7,1982.9,1906.45,2059.35,2097.58,2135.8,2.0
EMIL,90,192.99,66.7,2.25,98.1,192.99,179.56,206.42,213.14,219.86,2.0
EMMVEE,90,341.55,63.2,2.3,99.0,341.55,325.74,357.36,365.26,373.17,2.0
FINCABLES,90,1406.8,68.4,1.58,99.8,1406.8,1319.43,1494.17,1537.86,1581.54,2.0
GANDHAR,90,272.3,69.1,1.26,97.9,272.3,258.06,286.54,293.66,300.78,2.0
GANESHBE,90,133.89,66.5,1.59,98.6,133.89,123.74,144.04,149.12,154.19,2.0
GAYAPROJ,90,24.82,68.5,2.36,100.0,24.82,23.02,26.62,27.52,28.41,2.0
GPTHEALTH,90,162.28,62.8,1.28,98.1,162.28,155.3,169.26,172.75,176.24,2.0
HERITGFOOD,90,396.0,65.7,2.75,98.1,396.0,375.42,416.58,426.87,437.16,2.0
IKIO,90,227.08,66.5,1.97,97.5,227.08,210.46,243.7,252.01,260.32,2.0
INOXINDIA,90,2280.0,67.4,1.27,98.2,2280.0,2138.1,2421.9,2492.85,2563.8,2.0
JASH,90,521.9,62.6,1.39,98.9,521.9,494.62,549.18,562.82,576.46,2.0
JAYAGROGN,90,261.83,76.2,2.17,98.8,261.83,245.04,278.62,287.02,295.42,2.0
JUNIPER,90,230.0,77.0,2.27,98.3,230.0,218.65,241.35,247.02,252.7,2.0
KANORICHEM,90,175.14,75.0,2.49,100.0,175.14,162.69,187.59,193.81,200.04,2.0
KAVDEFENCE,90,75.3,76.9,3.65,99.6,75.3,68.74,81.86,85.14,88.42,2.0
KHADIM,90,123.09,74.6,1.27,100.0,123.09,116.48,129.7,133.0,136.31,2.0
KINGFA,90,6240.0,67.1,1.92,98.3,6240.0,5939.29,6540.71,6691.07,6841.43,2.0
LOTUSDEV,90,207.88,71.3,8.92,100.0,207.88,194.91,220.85,227.34,233.82,2.0
LYKALABS,90,84.8,76.6,2.78,100.0,84.8,81.26,88.34,90.11,91.88,2.0
MANGALAM,90,34.88,70.5,4.24,100.0,34.88,31.74,38.02,39.59,41.16,2.0
MANINDS,90,845.35,74.8,1.67,99.5,845.35,787.66,903.04,931.89,960.73,2.0
NRBBEARING,90,513.2,67.5,2.65,99.7,513.2,484.23,542.17,556.66,571.14,2.0
OIL,90,502.15,67.9,1.57,97.6,502.15,483.12,521.18,530.69,540.2,2.0
PAISALO,90,82.59,76.5,1.35,99.2,82.59,78.25,86.93,89.1,91.27,2.0
PARAGMILK,90,269.2,70.1,3.92,97.9,269.2,252.42,285.98,294.37,302.76,2.0
PCBL,90,335.9,61.9,1.77,97.1,335.9,320.23,351.57,359.41,367.24,2.0
PLASTIBLEN,90,195.43,58.3,1.25,97.8,195.43,184.83,206.03,211.33,216.62,2.0
PNB,90,116.57,55.8,1.26,97.9,116.57,113.43,119.71,121.28,122.85,2.0
PPL,90,291.55,70.8,1.39,98.6,291.55,275.4,307.7,315.78,323.86,2.0
AARTIDRUGS,80,438.75,60.7,1.17,98.6,438.75,417.79,459.71,470.19,480.67,2.0
ANANDRATHI,80,2180.1,54.2,2.0,97.2,2180.1,2116.89,2243.31,2274.92,2306.52,2.0
ASAHIINDIA,80,977.1,66.9,0.96,98.4,977.1,942.87,1011.33,1028.44,1045.56,2.0
CENTEXT,80,22.65,57.1,0.92,97.9,22.65,20.75,24.55,25.49,26.44,2.0
CHEVIOT,80,1203.4,61.8,0.99,97.4,1203.4,1151.54,1255.26,1281.2,1307.13,2.0
COCHINSHIP,80,1544.3,60.2,0.9,97.9,1544.3,1489.49,1599.11,1626.52,1653.92,2.0
CRAFTSMAN,80,11936.0,74.9,1.17,99.5,11936.0,11373.15,12498.85,12780.27,13061.69,2.0
GRANULES,80,889.8,62.5,0.93,98.7,889.8,851.47,928.13,947.29,966.46,2.0
HOMEFIRST,80,1212.7,55.5,0.98,97.2,1212.7,1165.11,1260.29,1284.09,1307.89,2.0
