symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target1,target2,target3,reward_risk_t3
AAREYDRUGS,90,102.63,71.3,1.39,98.7,102.63,96.49,108.77,111.84,114.91,2.0
AARTIDRUGS,90,436.25,57.8,1.38,98.3,436.25,414.99,457.51,468.14,478.77,2.0
BAJAJHCARE,90,352.7,67.2,3.03,98.8,352.7,336.45,368.95,377.07,385.19,2.0
BELLACASA,90,284.12,72.4,1.76,99.7,284.12,264.23,304.01,313.95,323.9,2.0
BLBLIMITED,90,17.33,68.3,1.65,99.0,17.33,16.12,18.54,19.15,19.75,2.0
CASTROLIND,90,193.23,60.3,1.41,97.7,193.23,188.88,197.58,199.76,201.94,2.0
DCW,90,50.02,64.9,4.06,97.2,50.02,47.31,52.73,54.08,55.43,2.0
DSFCL,90,30.25,70.1,1.53,100.0,30.25,28.5,32.0,32.87,33.74,2.0
EASTSILK,90,68.51,61.2,2.54,100.0,68.51,62.68,74.34,77.26,80.18,2.0
EDELWEISS,90,142.03,66.1,1.49,97.3,142.03,133.4,150.66,154.97,159.28,2.0
EPACKPEB,90,253.95,61.9,1.49,98.7,253.95,237.01,270.89,279.36,287.83,2.0
HBSL,90,55.68,57.8,1.31,98.5,55.68,51.92,59.44,61.32,63.2,2.0
ICIL,90,476.55,63.6,2.7,98.1,476.55,442.97,510.13,526.92,543.71,2.0
IDFCFIRSTB,90,87.9,60.8,3.38,98.1,87.9,85.45,90.35,91.58,92.81,2.0
IIFLCAPS,90,353.05,73.3,4.55,99.1,353.05,346.02,360.08,363.6,367.12,2.0
INDOAMIN,90,137.07,70.8,1.41,98.6,137.07,129.33,144.81,148.67,152.54,2.0
INTLCONV,90,80.99,61.4,1.56,97.9,80.99,76.58,85.4,87.61,89.81,2.0
JTLIND,90,91.31,62.1,1.32,97.3,91.31,85.32,97.3,100.29,103.29,2.0
KTKBANK,90,343.05,68.0,1.7,99.7,343.05,327.98,358.12,365.65,373.19,2.0
LXCHEM,90,188.44,61.9,3.0,99.7,188.44,177.75,199.13,204.48,209.83,2.0
MAHLOG,90,416.55,64.5,3.63,98.0,416.55,399.25,433.85,442.5,451.14,2.0
MARKSANS,90,347.6,65.6,1.47,99.3,347.6,327.35,367.85,377.98,388.1,2.0
MOTISONS,90,18.89,70.0,2.63,98.6,18.89,17.34,20.44,21.21,21.98,2.0
NOCIL,90,206.3,75.0,3.78,97.7,206.3,194.8,217.8,223.55,229.3,2.0
OBCL,90,60.27,71.5,4.62,98.8,60.27,56.79,63.75,65.5,67.24,2.0
ONELIFECAP,90,35.09,60.8,2.91,97.5,35.09,31.83,38.35,39.97,41.6,2.0
PCJEWELLER,90,14.47,70.8,2.42,97.4,14.47,13.31,15.63,16.21,16.79,2.0
PENIND,90,183.31,67.6,3.18,98.9,183.31,174.37,192.25,196.71,201.18,2.0
POONAWALLA,90,478.85,58.1,1.6,97.3,478.85,457.46,500.24,510.94,521.64,2.0
PREMIERPOL,90,96.72,65.9,10.52,98.1,96.72,88.63,104.81,108.86,112.91,2.0
ALMONDZ,80,19.55,65.1,1.04,97.7,19.55,17.78,21.32,22.21,23.09,2.0
ASAHISONG,80,382.9,57.9,0.99,97.9,382.9,356.71,409.09,422.19,435.28,2.0
BELRISE,80,249.78,69.4,0.95,99.6,249.78,240.13,259.43,264.26,269.09,2.0
CEIGALL,80,388.85,68.0,1.05,98.2,388.85,368.58,409.12,419.25,429.38,2.0
EMKAY,80,270.6,64.1,1.08,97.0,270.6,251.99,289.21,298.52,307.82,2.0
GRAUWEIL,80,86.18,69.7,1.08,97.3,86.18,80.4,91.96,94.84,97.73,2.0
HITECHCORP,80,334.0,55.5,1.16,98.2,334.0,321.31,346.69,353.04,359.39,2.0
HONASA,80,484.9,56.5,0.9,98.4,484.9,461.93,507.87,519.35,530.83,2.0
INDSWFTLAB,80,405.05,68.6,1.01,97.1,405.05,372.55,437.55,453.8,470.05,2.0
KAMATHOTEL,80,240.35,65.0,1.14,97.7,240.35,223.6,257.1,265.48,273.86,2.0
KIRLFER,80,478.1,66.9,0.97,97.8,478.1,459.42,496.78,506.12,515.46,2.0
OILCOUNTUB,80,69.5,70.7,1.09,98.5,69.5,66.74,72.26,73.64,75.02,2.0
ONWARDTEC,80,294.0,57.8,1.01,97.0,294.0,277.57,310.43,318.65,326.87,2.0
PARKHOSPS,80,286.55,56.5,1.1,97.7,286.55,274.27,298.83,304.97,311.11,2.0
PNB,80,118.3,59.0,1.03,99.1,118.3,115.15,121.45,123.02,124.6,2.0
PRIMESECU,80,296.35,58.4,1.02,97.8,296.35,279.97,312.73,320.92,329.11,2.0
AARNAV,75,33.42,57.6,2.1,96.0,33.42,30.33,36.51,38.06,39.6,2.0
AEQUS,75,243.94,57.6,1.63,95.2,243.94,230.43,257.45,264.2,270.95,2.0
ALKALI,75,101.63,72.9,1.71,95.6,101.63,91.62,111.64,116.65,121.65,2.0
ARIS,75,143.72,62.1,1.24,93.8,143.72,133.37,154.07,159.25,164.42,2.0
ARVEE,75,242.18,74.0,1.73,95.0,242.18,217.8,266.56,278.76,290.95,2.0
ASHOKAMET,75,15.54,57.2,1.87,80.1,15.54,13.88,17.2,18.02,18.85,2.0
ATL,75,25.93,57.4,3.21,92.6,25.93,24.16,27.7,28.58,29.47,2.0
AVTNPL,75,96.88,67.8,1.83,95.0,96.88,90.27,103.49,106.79,110.1,2.0
BLSE,75,322.45,57.8,1.23,94.9,322.45,306.16,338.74,346.88,355.02,2.0
BLUSPRING,75,132.59,56.5,1.55,94.8,132.59,120.51,144.67,150.71,156.76,2.0
CCHHL,75,13.42,64.3,5.16,96.6,13.42,12.51,14.33,14.78,15.24,2.0
COMSYN,75,299.3,60.3,1.76,95.1,299.3,276.7,321.9,333.2,344.5,2.0
CONFIPET,75,89.12,59.1,1.42,95.7,89.12,82.23,96.01,99.46,102.9,2.0
CRESTO,75,20.14,73.0,6.44,96.4,20.14,18.14,22.14,23.15,24.15,2.0
CROWN,75,122.53,65.4,1.26,92.8,122.53,113.01,132.05,136.81,141.57,2.0
DMCC,75,296.3,57.8,1.3,95.0,296.3,277.21,315.39,324.93,334.47,2.0
DOLLEX,75,37.75,60.1,1.29,94.5,37.75,34.67,40.83,42.37,43.91,2.0
EMIL,75,191.32,59.5,1.33,94.3,191.32,177.96,204.68,211.36,218.04,2.0
GANESHBE,75,131.08,59.0,2.16,96.5,131.08,121.61,140.55,145.29,150.02,2.0
GREENPLY,75,298.4,55.6,2.39,95.5,298.4,283.96,312.84,320.06,327.28,2.0
