symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target,reward_risk
ACMESOLAR,100,401.6,67.0,1.98,97.6,401.6,380.58,443.65,2.0
AEROENTER,100,140.07,65.8,4.29,99.1,140.07,129.28,161.66,2.0
AEROFLEX,100,503.0,66.4,1.87,99.6,503.0,468.91,571.18,2.0
AGI,100,753.6,68.1,4.16,99.3,753.6,721.1,818.6,2.0
AKSHOPTFBR,100,7.66,66.7,3.94,97.2,7.66,7.16,8.66,2.0
ALEMBICLTD,100,92.73,62.7,1.85,99.5,92.73,88.88,100.43,2.0
ALKYLAMINE,100,2052.7,66.5,2.74,99.0,2052.7,1943.0,2272.11,2.0
AMANTA,100,195.79,72.8,2.86,100.0,195.79,185.48,216.4,2.0
ARTEMISMED,100,326.1,70.4,1.75,97.9,326.1,309.66,358.97,2.0
ASPINWALL,100,247.49,56.0,1.71,98.2,247.49,232.43,277.61,2.0
ATLANTAELE,100,1846.9,63.9,2.69,99.4,1846.9,1709.07,2122.55,2.0
BALUFORGE,100,555.4,75.2,1.41,98.7,555.4,523.75,618.69,2.0
BEPL,100,125.82,61.3,1.61,97.8,125.82,118.7,140.05,2.0
BLACKBUCK,100,634.3,73.8,1.27,98.8,634.3,602.68,697.54,2.0
BLUSPRING,100,128.98,64.6,4.77,99.4,128.98,118.08,150.79,2.0
BODALCHEM,100,78.97,71.0,3.1,99.8,78.97,74.44,88.03,2.0
BRIGADE,100,639.3,72.0,2.23,99.5,639.3,608.95,700.0,2.0
CANHLIFE,100,155.24,63.8,1.28,99.6,155.24,147.92,169.88,2.0
CARTRADE,100,3072.9,68.6,2.99,97.1,3072.9,2900.03,3418.63,2.0
CDSL,100,1388.9,61.4,3.31,99.1,1388.9,1345.46,1475.79,2.0
CRAMC,100,264.7,58.0,1.36,97.7,264.7,253.9,286.3,2.0
DALBHARAT,100,1880.0,61.1,1.89,97.7,1880.0,1817.97,2004.07,2.0
DCBBANK,100,203.59,65.0,4.88,99.3,203.59,193.7,223.36,2.0
DIXON,100,14850.0,67.9,1.58,99.3,14850.0,14269.85,16010.3,2.0
DSKULKARNI,100,16.14,74.6,1.33,100.0,16.14,15.45,17.53,2.0
EDELWEISS,100,128.68,65.8,2.64,97.2,128.68,121.85,142.34,2.0
ENDURANCE,100,3029.5,65.6,1.67,98.6,3029.5,2906.15,3276.2,2.0
FCL,100,47.43,68.5,2.73,99.0,47.43,43.72,54.86,2.0
