symbol,score,price,rsi,relative_volume,near_20d_high_pct,entry,stop,target,reward_risk
ACMESOLAR,100,401.6,67.0,1.98,97.6,401.6,380.58,443.65,2.0
AEROENTER,100,140.07,65.8,4.29,99.1,140.07,129.28,161.66,2.0
AKSHOPTFBR,100,7.66,66.7,3.94,97.2,7.66,7.16,8.66,2.0
ALEMBICLTD,100,92.73,62.7,1.85,99.5,92.73,88.88,100.43,2.0
AMANTA,100,195.79,72.8,2.86,100.0,195.79,185.48,216.4,2.0
ARTEMISMED,100,326.1,70.4,1.75,97.9,326.1,309.66,358.97,2.0
ASPINWALL,100,247.49,56.0,1.71,98.2,247.49,232.43,277.61,2.0
BEPL,100,125.82,61.3,1.61,97.8,125.82,118.7,140.05,2.0
BLUSPRING,100,128.98,64.6,4.77,99.4,128.98,118.08,150.79,2.0
BODALCHEM,100,78.97,71.0,3.1,99.8,78.97,74.44,88.03,2.0
CANHLIFE,100,155.24,63.8,1.28,99.6,155.24,147.92,169.88,2.0
CRAMC,100,264.7,58.0,1.36,97.7,264.7,253.9,286.3,2.0
DCBBANK,100,203.59,65.0,4.88,99.3,203.59,193.7,223.36,2.0
DSKULKARNI,100,16.14,74.6,1.33,100.0,16.14,15.45,17.53,2.0
EDELWEISS,100,128.68,65.8,2.64,97.2,128.68,121.85,142.34,2.0
FCL,100,47.43,68.5,2.73,99.0,47.43,43.72,54.86,2.0
GENUSPOWER,100,337.95,66.1,1.93,97.7,337.95,320.56,372.72,2.0
GUFICBIO,100,431.5,63.7,1.99,97.6,431.5,406.1,482.3,2.0
HAPPSTMNDS,100,444.55,70.3,3.15,99.1,444.55,417.75,498.14,2.0
HITECHCORP,100,331.5,65.9,2.19,98.0,331.5,320.39,353.71,2.0
JAYNECOIND,100,99.89,68.2,4.05,98.5,99.89,94.32,111.02,2.0
JINDALSAW,100,291.65,69.8,9.29,97.7,291.65,277.23,320.49,2.0
JTLIND,100,79.52,59.0,2.87,98.8,79.52,75.01,88.53,2.0
KAMATHOTEL,100,207.66,73.6,3.4,98.9,207.66,195.94,231.1,2.0
KIRIINDUS,100,477.9,73.9,2.24,99.6,477.9,451.02,531.67,2.0
KOTAKBANK,100,402.8,62.2,1.59,99.2,402.8,392.43,423.55,2.0
KRBL,100,406.95,71.4,1.48,98.8,406.95,386.96,446.93,2.0
LATTEYS,100,23.28,68.8,1.22,97.1,23.28,21.54,26.76,2.0
